id входа;id;депозит после цикла;Время;порядковый номер шага;результат;начальная ставка
30571;30574;171,3756;2 08:44;4;выигрыш;0,40
30802;30802;176,7196;2 10:03;1;выигрыш;0,40
31093;31098;180,0636;2 11:45;6;выигрыш;0,40
31223;31240;172,3936;2 12:38;18;стоп;0,40
31667;31684;164,7236;2 15:13;18;стоп;0,40
31830;31847;157,0536;2 16:08;18;стоп;0,40
32570;32577;159,5976;2 20:48;8;выигрыш;0,40
32621;32637;160,1084;2 21:07;17;выигрыш;0,40
32695;32708;160,5196;2 21:32;14;выигрыш;0,40
32862;32865;164,6636;2 22:29;4;выигрыш;0,40
33113;33130;156,9936;3 00:00;18;стоп;0,40
33456;33457;161,9376;3 01:50;2;выигрыш;0,40
34293;34310;154,2676;3 06:39;18;стоп;0,40
34488;34505;146,5976;3 07:53;18;стоп;0,40
34553;34554;151,5416;3 08:10;2;выигрыш;0,40
34730;34739;153,2856;3 09:11;10;выигрыш;0,40
34851;34858;155,8296;3 10:00;8;выигрыш;0,40
35016;35025;157,5736;3 10:56;10;выигрыш;0,40
