id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат;депозит до цикла;полный стоп;3 стопа;3 стопа % депозита
42085;42090;2,47;253,3852;5 04:36;6;выигрыш;250,8976;54,13;162,39;64,7236
42498;42508;2,50;198,5952;5 06:58;11;стоп;253,3852;54,79;164,37;64,8696
43062;43065;1,96;200,7904;5 10:06;4;выигрыш;198,5952;42,94;128,82;64,8656
43211;43215;1,98;202,7996;5 10:58;5;выигрыш;200,7904;43,41;130,23;64,8587
43282;43282;2,00;211,0396;5 11:19;1;выигрыш;202,7996;43,84;131,52;64,8522
43535;43543;2,08;213,1332;5 12:54;9;выигрыш;211,0396;45,60;136,80;64,8220
44018;44027;2,10;215,2716;5 15:46;10;выигрыш;213,1332;46,02;138,06;64,7764
44474;44477;2,12;217,6460;5 18:29;4;выигрыш;215,2716;46,48;139,44;64,7740
44917;44927;2,15;170,5060;5 21:11;11;стоп;217,6460;47,14;141,42;64,9771
45359;45360;1,68;175,7476;6 07:28;2;выигрыш;170,5060;36,84;110,52;64,8188
45417;45419;1,73;179,4152;6 07:47;3;выигрыш;175,7476;37,93;113,79;64,7463
45646;45647;1,77;184,9376;6 09:00;2;выигрыш;179,4152;38,78;116,34;64,8440
45791;45797;1,82;186,7880;6 09:51;7;выигрыш;184,9376;39,90;119,70;64,7245
45908;45908;1,84;194,3688;6 10:30;1;выигрыш;186,7880;40,37;121,11;64,8382
46331;46332;1,92;200,3592;6 12:56;2;выигрыш;194,3688;42,10;126,30;64,9796
46646;46653;1,98;202,3536;6 14:49;8;выигрыш;200,3592;43,41;130,23;64,9983
46679;46689;2,00;158,5136;6 15:00;11;стоп;202,3536;43,84;131,52;64,9951
47180;47188;1,56;160,1072;6 18:06;9;выигрыш;158,5136;34,22;102,66;64,7642
47244;47246;1,58;163,4568;6 18:26;3;выигрыш;160,1072;34,66;103,98;64,9440
48524;48524;1,61;170,0900;7 01:39;1;выигрыш;163,4568;35,29;105,87;64,7694
48856;48862;1,68;171,8092;7 03:39;7;выигрыш;170,0900;36,84;110,52;64,9774
49023;49024;1,69;177,0820;7 04:34;2;выигрыш;171,8092;37,10;111,30;64,7812
49315;49319;1,74;178,8564;7 06:13;5;выигрыш;177,0820;38,16;114,48;64,6480
49505;49505;1,76;186,1076;7 07:16;1;выигрыш;178,8564;38,61;115,83;64,7615
49805;49805;1,83;193,6472;7 08:57;1;выигрыш;186,1076;40,14;120,42;64,7045
50509;50511;1,91;197,6964;7 13:10;3;выигрыш;193,6472;41,89;125,67;64,8964
52431;52434;1,95;199,8804;8 00:29;4;выигрыш;197,6964;42,76;128,28;64,8874
52891;52895;1,97;201,8884;8 03:09;5;выигрыш;199,8804;43,21;129,63;64,8538
53043;53044;1,99;208,0972;8 03:58;2;выигрыш;201,8884;43,64;130,92;64,8477
54765;54766;2,05;214,4932;8 14:28;2;выигрыш;208,0972;44,93;134,79;64,7726
55013;55014;2,11;221,0764;8 16:00;2;выигрыш;214,4932;46,25;138,75;64,6874
55071;55071;2,18;230,0580;8 16:20;1;выигрыш;221,0764;47,77;143,31;64,8237
55141;55141;2,27;239,4104;8 16:49;1;выигрыш;230,0580;49,76;149,28;64,8880
55277;55277;2,36;249,1336;8 17:43;1;выигрыш;239,4104;51,73;155,19;64,8217
55593;55600;2,46;251,6124;8 19:39;8;выигрыш;249,1336;53,91;161,73;64,9170
55941;55944;2,48;254,3900;8 21:44;4;выигрыш;251,6124;54,37;163,11;64,8259
56016;56016;2,51;264,7312;8 22:07;1;выигрыш;254,3900;54,98;164,94;64,8375
56082;56090;2,61;267,3796;8 22:32;9;выигрыш;264,7312;57,19;171,57;64,8091
56506;56516;2,64;209,5096;9 00:57;11;стоп;267,3796;57,87;173,61;64,9302
57435;57438;2,07;211,8280;9 06:21;4;выигрыш;209,5096;45,38;136,14;64,9803
57670;57673;2,09;214,1688;9 07:37;4;выигрыш;211,8280;45,81;137,43;64,8781
58519;58526;2,11;216,2792;9 12:36;8;выигрыш;214,1688;46,25;138,75;64,7853
58711;58716;2,13;218,4356;9 13:49;6;выигрыш;216,2792;46,70;140,10;64,7774
58758;58760;2,15;222,9936;9 14:05;3;выигрыш;218,4356;47,14;141,42;64,7422
58787;58788;2,20;229,8576;9 14:14;2;выигрыш;222,9936;48,20;144,60;64,8449
59230;59235;2,27;232,1492;9 16:58;6;выигрыш;229,8576;49,76;149,28;64,9446
59518;59518;2,29;241,5840;9 18:41;1;выигрыш;232,1492;50,18;150,54;64,8462
59938;59938;2,38;251,3896;9 21:14;1;выигрыш;241,5840;52,14;156,42;64,7477
60004;60007;2,48;254,1672;9 21:36;4;выигрыш;251,3896;54,37;163,11;64,8834
60105;60109;2,51;256,6932;9 22:09;5;выигрыш;254,1672;54,98;164,94;64,8943
60370;60379;2,53;259,2576;9 23:40;10;выигрыш;256,6932;55,46;166,38;64,8167
60404;60404;2,56;269,8048;9 23:48;1;выигрыш;259,2576;56,10;168,30;64,9161
60459;60464;2,66;272,4972;10 00:08;6;выигрыш;269,8048;58,28;174,84;64,8024
60610;60613;2,69;275,5100;10 00:58;4;выигрыш;272,4972;58,94;176,82;64,8887
60948;60950;2,72;281,2764;10 02:58;3;выигрыш;275,5100;59,63;178,89;64,9305
61070;61072;2,78;287,1700;10 03:39;3;выигрыш;281,2764;60,94;182,82;64,9966
61121;61131;2,84;224,9500;10 03:56;11;стоп;287,1700;62,22;186,66;64,9998
61208;61214;2,22;227,2004;10 04:23;7;выигрыш;224,9500;48,66;145,98;64,8944
61512;61513;2,24;234,1892;10 06:03;2;выигрыш;227,2004;49,06;147,18;64,7798
61733;61733;2,31;243,7064;10 07:18;1;выигрыш;234,1892;50,65;151,95;64,8834
62199;62205;2,40;246,1376;10 10:07;7;выигрыш;243,7064;52,62;157,86;64,7747
62317;62317;2,43;256,1492;10 10:47;1;выигрыш;246,1376;53,24;159,72;64,8905
62823;62830;2,53;258,6872;10 13:46;8;выигрыш;256,1492;55,46;166,38;64,9543
63125;63125;2,55;269,1932;10 15:22;1;выигрыш;258,6872;55,89;167,67;64,8157
63352;63352;2,66;280,1524;10 16:55;1;выигрыш;269,1932;58,28;174,84;64,9496
63525;63525;2,76;291,5236;10 17:55;1;выигрыш;280,1524;60,47;181,41;64,7540
64094;64104;2,88;228,3936;10 21:17;11;стоп;291,5236;63,13;189,39;64,9656
64164;64164;2,25;237,6636;10 21:36;1;выигрыш;228,3936;49,34;148,02;64,8092
64260;64261;2,34;244,9644;10 22:12;2;выигрыш;237,6636;51,26;153,78;64,7049
64330;64339;2,42;247,4008;10 22:38;10;выигрыш;244,9644;53,05;159,15;64,9686
64495;64496;2,44;255,0136;10 23:28;2;выигрыш;247,4008;53,49;160,47;64,8624
65296;65299;2,52;257,8360;11 03:57;4;выигрыш;255,0136;55,23;165,69;64,9730
65375;65384;2,54;260,4152;11 04:27;10;выигрыш;257,8360;55,70;167,10;64,8086
66005;66010;2,57;263,0008;11 08:04;6;выигрыш;260,4152;56,29;168,87;64,8464
66507;66507;2,59;273,6716;11 11:04;1;выигрыш;263,0008;56,75;170,25;64,7336
66641;66648;2,70;276,3976;11 11:51;8;выигрыш;273,6716;59,18;177,54;64,8734
66803;66803;2,73;287,6452;11 12:46;1;выигрыш;276,3976;59,81;179,43;64,9174
66871;66873;2,84;293,6660;11 13:12;3;выигрыш;287,6452;62,22;186,66;64,8924
67112;67114;2,90;299,8140;11 14:37;3;выигрыш;293,6660;63,52;190,56;64,8900
67386;67389;2,96;303,1292;11 16:16;4;выигрыш;299,8140;64,88;194,64;64,9203
67479;67486;2,99;306,1356;11 16:53;8;выигрыш;303,1292;65,48;196,44;64,8041
